名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page,File Name,来源城市,AQI,绿化覆盖率 (%),废水处理率 (%),废气处理率 (%),垃圾分类处理率 (%),历史遗迹数量,博物馆数量,文化活动频次,文化设施数量,公共交通覆盖率 (%),线路密度 (km/km²),高速公路里程 (km),机场航班数量,年平均气温 (℃),年降水量 (mm),适宜旅游天数,空气湿度 (%),餐馆数量,特色美食数量,美食活动频次,综合评分
石柱观,http://travel.qunar.com/p-oi3864472-shizhuguan,,建始望坪是一马平川，坪中有一山峰隆起，突兀凌空，尤如擎天大柱，人们称为蟠龙山。这山海拔为1070米，相对高度51米，周长223米。山顶有一庙宇，古人称朝贞观，今人叫它石柱观。？？？？蟠龙山山势险峻，整个山体是悬崖绝壁，山麓有洞穴，迂回曲折通向山腰，出半山洞口，有238级石梯依山势盘旋至山顶。山顶苍松横生，山花竞放，庙宇掩翳在秀林古木之中。庙始建于明嘉靖年间，传说当年有一樵夫上蟠龙山捡柴，在半岩石缝中拾得半截庙钟，钟上残留“峨嵋”二宇，怀疑是四川峨眉山的神仙...建始望坪是一马平川，坪中有一山峰隆起，突兀凌空，尤如擎天大柱，人们称为蟠龙山。这山海拔为1070米，相对高度51米，周长223米。山顶有一庙宇，古人称朝贞观，今人叫它石柱观。？？？？蟠龙山山势险峻，整个山体是悬崖绝壁，山麓有洞穴，迂回曲折通向山腰，出半山洞口，有238级石梯依山势盘旋至山顶。山顶苍松横生，山花竞放，庙宇掩翳在秀林古木之中。庙始建于明嘉靖年间，传说当年有一樵夫上蟠龙山捡柴，在半岩石缝中拾得半截庙钟，钟上残留“峨嵋”二宇，怀疑是四川峨眉山的神仙降灵，四乡群众因此相邀在 山顶修筑庙宇。四百多年来，石柱观几经兵燹，重建数次。现存的土木结构是清代重建，高10．97米，外形呈四层六棱亭阁状，顶部为六面迭歇山式，飞角是鸱首式，内设前堂后殿，东西两厢，左右茶舍膳房，布局合理，造型雄伟，工艺精致，显示出工匠的聪明才智。？？？？蟠龙山周围有风景三处，山西有清建宝塔一座，右侧崖缝中有一涓流，久早不竭；东麓有一堰池，碧波荡漾，常年不干。石柱观兼有山、水、石、洞四美，是鄂西的一个游览胜地。,,,5.0,,,,,2,恩施,恩施,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
蓝小鸭萌宠乐园,http://travel.qunar.com/p-oi39596996-lanxiaoyamengchongleyuan,, 蓝小鸭萌宠乐园是一家以动物文化为主题的室内乐园，根据乐园内部仿真自热环境，和孩子一起体验大自然的法则与秩序。超70种风靡全球的动物界“扛把子”和各路萌宠神兽齐齐驾到，为您上演一场疯狂动物城里的萌宠大咖秀，快来和这些超萌可爱的动物精灵们“零距离接触的亲密互动”和“喂食体验”吧，零距离互动让小朋友近距离感受了解小动物及了解自然，培养孩子的观察和思考的能力，让孩子们在都市享受动物带来的 欢愉。 蓝小鸭萌宠乐园，为新世纪儿童认识建设不断努力，我们愿为您一起见证孩子的成长。,,,5.0,,,,,5,惠州,惠州,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
玉柱擎天,http://travel.qunar.com/p-oi706323-yuzhuqingtian,"

地址:
云南-丽江玉龙雪山主峰南麓

",,全天,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1559156727974100w14000000x5uyv8E6B_D_640_10000.jpg_480x360x95_9c655a59.jpg,5.0,建议游览时间：2小时 - 4小时,四季皆宜。,免费,,7,丽江,丽江,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
首阳山,http://travel.qunar.com/p-oi714622-shouyangshan,"

地址:
甘肃省定西市渭源县莲峰镇

",首阳山位于渭源县东南34公里的莲峰乡享堂沟，海拔在2186-2509米之间，因其列群山之首，阳光先照而得名。首阳山因商未周初孤竹国（今河北庐龙县）君之二子伯夷、叔齐相让嗣君，相偕至周，后闻武王伐纣，叩马谏阴。因武王不听，遂愤而不食周粟，西行至首阳山，采薇而食，后饿死于首阳山而成为陇右名山。秦汉在此建县时就名首阳县了。渭源首阳山最早见于庄子所言伯夷、叔齐西至岐阳，见周武王伐殷曰：吾闻古之士，遭治世还避其任，遇乱世不为苟存，今天下暗，周德衰，其并乎周以涂吾身...首阳山位于渭源县东南34公里的莲峰乡享堂沟，海拔在2186-2509米之间，因其列群山之首，阳光先照而得名。首阳山因商未周初孤竹国（今河北庐龙县）君之二子伯夷、叔齐相让嗣君，相偕至周，后闻武王伐纣，叩马谏阴。因武王不听，遂愤而不食周粟，西行至首阳山，采薇而食，后饿死于首阳山而成为陇右名山。秦汉在此建县时就名首阳县了。渭源首阳山最早见于庄子所言伯夷、叔齐西至岐阳，见周武王伐殷曰：吾闻古之士，遭治世还避其任，遇乱世不为苟存，今天下暗，周德衰，其并乎周以涂吾身也，不若逊之，以洁吾行二子北至于首阳之山，遂饥饿而死。又东汉经文学家曹大家（即班昭）注《幽通赋》说：夷齐饿于首阳山在陇西首阳。渭源在秦末汉初建县，就名首阳县，归陇西郡管辖，县以山得名。直到西魏文帝大统十七年（公元551）始改名渭源县。据此看来，渭源首阳山得名最早，历史悠久，为夷齐隐居采蕨直至饿死的最确首阳山。首阳山西北侧有石门，因两座石崖东西对峙，间开一线，形似石门而得名。石门夜月为当地一景。两崖之间有一水库，容量500多万立方米，是一处理想的水上乐园。水库后面为长十五里的天井峡谷，这里座座陡峭的山崖相对挺立，四山合围，蓝天变成一条细线，人如处井底，其地势恰似一大锯解开的板缝，故此当地俗称解板沟。天井峡山奇水美，恰似仙境，有鬼斧神工的自然造型27处景点。沿十五里天井画廊，到处充满着奇、险、壮、绝、清、秀、幽、静、古、野之情趣。如从县城向南行直抵天井峡，约有20多公里路程。,09:00-17:00,https://img1.qunarzz.com/travel/d5/1510/98/3f55b9c8ca110f.jpg_480x360x95_82907aca.jpg,5.0,,,25元,,1,定西,定西,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
六合丝厂,http://travel.qunar.com/p-oi39462514-liuhesichang,,,,,5.0,,,,,1,南充,南充,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
红色娘子军雕像,http://travel.qunar.com/p-oi708592-hongseniangzijundiaoxiang,"

地址:
琼海市东风路与人民路交叉处

",位于琼海市南门的街心公园，于1985年8月1日落成揭幕。雕像由花岗石雕刻而成，坐北向南，高3．7米，连底座总高6．8米。座基石板铺设，四周呈六角形，围以石栏杆，占地面积40平方米。雕像后面是园林花圃等。红色娘子军纪念雕像将红军女战士脚穿草鞋、肩背竹笠、风尘仆仆的一代巾帼英雄的气概充分展现。雕像底座正面有胡耀邦金字题词：“红色娘子军”。底座背面刻有如下文字：“红色娘子军即中国工农红军第二独立师女子军特务连。”1931年5月1日创建于乐会县第四区革命根据地。她们在中共...位于琼海市南门的街心公园，于1985年8月1日落成揭幕。雕像由花岗石雕刻而成，坐北向南，高3．7米，连底座总高6．8米。座基石板铺设，四周呈六角形，围以石栏杆，占地面积40平方米。雕像后面是园林花圃等。红色娘子军纪念雕像将红军女战士脚穿草鞋、肩背竹笠、风尘仆仆的一代巾帼英雄的气概充分展现。雕像底座正面有胡耀邦金字题词：“红色娘子军”。底座背面刻有如下文字：“红色娘子军即中国工农红军第二独立师女子军特务连。”1931年5月1日创建于乐会县第四区革命根据地。她们在中共琼崖特委领导下，出色地完成了保卫领导机关，宣传发动群众等项任务，并配合主力部队作战，在伏击沙帽岭、火攻文市炮楼、拔除阳江据点及马鞍岭阻击战斗中，不怕牺牲，英勇杀敌，为琼崖革命立下功勋，斯为妇女解放运动之旗帜，海南人民之光荣，娘子军革命精神永存！”。1990年，海南省人民政府确定红色娘子军雕像为重点革命纪念建筑物保护单位。,全天,https://img1.qunarzz.com/travel/d5/201406/13/dd2bdcc65e98211fddb12cfb.jpg_480x360x95_585421be.jpg,5.0,,,30元,,2,琼海,琼海,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
皇姑山Huanggu Mountain,http://travel.qunar.com/p-oi35742720-huanggushan,"

地址:
常德市津市市皇姑山路

",皇姑山因明代华阳王朱悦耀的妃子葬于山南而得名。山上茂林修竹、曲径通幽，山脚下已建成皇姑山公园广场。,全年 全天开放,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,7,常德,常德,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
海花岛婚礼庄园,http://travel.qunar.com/p-oi38937427-haihuadaohunlizhuangyuan,,,,,5.0,,,,,3,儋州,儋州,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
新山梯田,http://travel.qunar.com/p-oi9644327-xinshantitian,,新山梯田位于米易新山傈僳族乡，梯田的面积中等，由于附近的山体比较陡峭，所以形成了独特的梯田风景。,,https://img1.qunarzz.com/travel/d6/1705/88/4c78dd162ba3bfb5.jpg_480x360x95_6f8e68b9.jpg,5.0,,,,,1,攀枝花,攀枝花,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
石塘镇Shitangzhen,http://travel.qunar.com/p-oi35213816-shitangzhen,"

地址:
台州市温岭市

",石塘镇是浙江省温岭市辖镇，地处浙江的东南，由原石塘、箬山和钓浜三镇合并而成，区域面积约28.2平方千米，海岸线长58.6km，常住人口68807人（2017年），辖58个行政村，其中纯渔业村54个。,夏季7:30-17:00，冬季8:00-16:30,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,2,台州,台州,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
红龙湖公园,http://travel.qunar.com/p-oi711255-honglonghugongyuan,"

地址:
泸州市古蔺县城北部

",红龙湖省级森林公园位于古蔺县城北部，距县城区19.5公里，与黄荆景区紧密相连，面积达30平方公里。整个湖区由红龙湖、月儿湖、琴蛙湖等大小7个湖泊组成，象七颗璀灿的明珠镶嵌在海拨1600多米的崇山峻岭之中，最高峰新街坪达845米。湖区四周青山环抱，绿树掩映，水如明镜，湖中小船漫游，鱼歌悠悠。细雨蒙蒙时，四周高山葱笼翠绿，云雾缠绕其间，似玉带缠腰；以红龙湖为中心的水面，则薄雾缭绕，亲临红龙，如入仙山美景。夏日炎炎，这里凉爽舒适、空气清新、花香鸟语、格外幽静、湖区上...红龙湖省级森林公园位于古蔺县城北部，距县城区19.5公里，与黄荆景区紧密相连，面积达30平方公里。整个湖区由红龙湖、月儿湖、琴蛙湖等大小7个湖泊组成，象七颗璀灿的明珠镶嵌在海拨1600多米的崇山峻岭之中，最高峰新街坪达845米。湖区四周青山环抱，绿树掩映，水如明镜，湖中小船漫游，鱼歌悠悠。细雨蒙蒙时，四周高山葱笼翠绿，云雾缠绕其间，似玉带缠腰；以红龙湖为中心的水面，则薄雾缭绕，亲临红龙，如入仙山美景。夏日炎炎，这里凉爽舒适、空气清新、花香鸟语、格外幽静、湖区上下一片绿色的海洋，使人心旷神怡；隆冬季节，这里银装素裹，白雪皑皑，玉树琼花，一派北国风光，独特的南方雪景，更令人心醉神迷。离红龙湖三公里处的虎头山，地形险要，景观奇特，可观日出、云海；湖区舍身岩下的白水湖景区形势险峻，奇景众多，与正在实施的龙爪河引水工程连为一体，形成十里长湖，成为川南最具特色的避暑、度假、旅游的理想圣地。,7:30-18:30,,5.0,,,8元,,2,泸州,泸州,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
崇安寺,http://travel.qunar.com/p-oi706366-chongansi,,"崇安寺，古称凌烟寺，位于山西省陵川县崇文镇西北的卧龙岗上，大有居高临下，俯瞰全城的雄伟气魄，""先有崇安，后有陵川""的远古说法在当地流传甚广。崇安寺的创始年代已无从稽考，唐初原名为""丈八佛寺'，宋太平兴国元年？？公元976年？？敕命为崇安寺，此外古代并有""凌烟寺""之称。由于历代重修和增建，从现存建筑来看基本上都是明代改建的，但也部分地保留着宋、金原作。主要建筑山门、钟鼓二楼。山门位于中轴线前，系明代建筑，面宽五间，进深六架椽，平面形制为长方形，屋顶形制...崇安寺，古称凌烟寺，位于山西省陵川县崇文镇西北的卧龙岗上，大有居高临下，俯瞰全城的雄伟气魄，""先有崇安，后有陵川""的远古说法在当地流传甚广。崇安寺的创始年代已无从稽考，唐初原名为""丈八佛寺'，宋太平兴国元年？？公元976年？？敕命为崇安寺，此外古代并有""凌烟寺""之称。由于历代重修和增建，从现存建筑来看基本上都是明代改建的，但也部分地保留着宋、金原作。主要建筑山门、钟鼓二楼。山门位于中轴线前，系明代建筑，面宽五间，进深六架椽，平面形制为长方形，屋顶形制为二层三重檐歇山顶，房坡为灰色筒板瓦铺制，正脊为彩色龙吻图案对峙，彩色琉璃剪边。山门一层檐下，南面悬有""行山钟秀""四个大字，北下悬有""留月栖云""四个大字。此楼虽改建于明代，但大门上仍用的是宋代青石门框，门框上还刻着""嘉佑辛丑六月三日""等字样，殿内有宋碑一通，院内金、明、清碑共十三通。钟鼓二楼位于中轴线山门两侧，左为钟楼，右为鼓楼，均为重檐歇山顶，彩色琉璃剪边。钟楼内悬有宋代大铁钟一个，铸于宋徽宗崇宁元年，钟高一百九十八公分，径长一百六十四公分，上面铸有文字和方格纹，是我县现存最大的一个铁钟。鼓楼内原悬有大鼓一面。？？清代已经毁？？。",,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/f52d90db3504d21ac7480b6664bfb152.jpg_480x360x95_216b5c93.jpg,5.0,,,,,2,晋城,晋城,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
太阳湾路Sun Bay Road,http://travel.qunar.com/p-oi32733580-taiyangwanlu,"

地址:
海南省三亚市吉阳区


电话:
0898-88568899

",太阳湾路位于亚龙湾旅游度假区内，是亚龙湾通往太阳湾柏悦度假酒店的必经之路。这是一条深藏在亚龙湾与太阳湾之间的海景公路，一边是山，一边是海，约6公里的距离，足以让人感受到清静与避世。进入到太阳湾路，就真正进入到了山水之间、山海之间。太阳湾路起点，左边是一条小河注入大海，潮涨潮落，分不清哪里是海水，哪里是河水，只有河海相间的红树林，在不断地感受着大海与溪流之间的恩赐。这里一簇簇红树林，本身就是一道风景，枝头上白鹳、水鸟也好似在度假一样，或是站在枝头发呆，或是在悠闲地飞翔。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/29314950b14a829417f96670b87e5331.jpg_480x360x95_5d2079e0.jpg,5.0,建议游览时间：0.5小时 - 1小时,,具体收费情况以现场公示为主,,3,三亚,三亚,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
左公柳,http://travel.qunar.com/p-oi702447-zuogongliu,"

地址:
嘉峪关关城闸门附近

",,全天,https://img1.qunarzz.com/travel/poi/201408/12/dcdd9e30342aa15cc8d65eac.jpg_480x360x95_a907624f.jpg,5.0,建议游览时间：0.5小时,嘉峪关气候：嘉峪关气候属于温带干旱气候，年平均气温6摄氏度左右，昼夜温差较大，年降水量80多毫米，1月份最 冷，7月份最热 最佳旅游时间：每年5月－10月是最佳旅游时间,免费,,1,嘉峪关,嘉峪关,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
