名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page,File Name,来源城市,AQI,绿化覆盖率 (%),废水处理率 (%),废气处理率 (%),垃圾分类处理率 (%),历史遗迹数量,博物馆数量,文化活动频次,文化设施数量,公共交通覆盖率 (%),线路密度 (km/km²),高速公路里程 (km),机场航班数量,年平均气温 (℃),年降水量 (mm),适宜旅游天数,空气湿度 (%),餐馆数量,特色美食数量,美食活动频次,灰色关联度
罗什寺塔,http://travel.qunar.com/p-oi716387-luoshensita,,矗立在武威北大街，是为了纪念鸠摩罗什在武成弘扬佛法、翻译经典的功绩而建造的。罗什寺塔最早建于后凉(386―402)，唐时曾大力扩建，明、清皆有修葺。其间于明代成为陕西凉州大寺院，英宗正统十年二月十五日，为罗什寺院颁发了大藏经。并下了圣谕，谕中道：“刊印大藏经，颁赐天下，用广流传，兹以一藏，安置陕西凉州大寺院，永充供养。”此谕现完好保存于武威市博物馆。清康熙二十六《重修罗什寺碑记》载，经过重修的罗什寺“前后三院，焕然一新，乃五凉之福地；壮丽改观，诚河西之胜...矗立在武威北大街，是为了纪念鸠摩罗什在武成弘扬佛法、翻译经典的功绩而建造的。罗什寺塔最早建于后凉(386―402)，唐时曾大力扩建，明、清皆有修葺。其间于明代成为陕西凉州大寺院，英宗正统十年二月十五日，为罗什寺院颁发了大藏经。并下了圣谕，谕中道：“刊印大藏经，颁赐天下，用广流传，兹以一藏，安置陕西凉州大寺院，永充供养。”此谕现完好保存于武威市博物馆。清康熙二十六《重修罗什寺碑记》载，经过重修的罗什寺“前后三院，焕然一新，乃五凉之福地；壮丽改观，诚河西之胜地也”。现存罗什寺塔八角十二层，高32米，全以条形方砖砌成。从下起第三、五、八层均没门，顶部是葫芦形的铜质宝瓶，最上层东西各有小佛龛，龛内有佛像，据说是真金的。,,https://img1.qunarzz.com/piao/fusion/1805/2d/85bcba0eed283f02.jpg_480x360x95_962d86af.jpg,5.0,,,,,1,武威,武威,0.3106796116504854,0.6000000000000001,0.4285714285714288,0.5555555555555554,0.3000000000000007,0.2666666666666667,0.16666666666666663,0.25,0.2222222222222222,0.6000000000000001,0.11111111111111116,0.5333333333333332,0.55,0.41666666666666663,0.5416666666666667,0.40000000000000013,0.3500000000000001,0.30000000000000004,0.125,0.2666666666666667,0.7987931371046525
昭阳区守望乡宋家山,http://travel.qunar.com/p-oi39600117-zhaoyangqushouwangxiang,,,,,5.0,,,,,2,昭通,昭通,0.3106796116504854,0.6000000000000001,0.4285714285714288,0.5555555555555554,0.3000000000000007,0.2666666666666667,0.16666666666666663,0.25,0.2222222222222222,0.6000000000000001,0.11111111111111116,0.5333333333333332,0.55,0.41666666666666663,0.5416666666666667,0.40000000000000013,0.3500000000000001,0.30000000000000004,0.125,0.2666666666666667,0.7987931371046525
茶山,http://travel.qunar.com/p-oi40013237-chashan,,茶山位于织金县，这里随处可见的茶树，景色优美，人们还可以在此体验采茶的乐趣。,,,5.0,,,具体收费情况以景区现场公示为主,,2,毕节,毕节,0.3106796116504854,0.6000000000000001,0.4285714285714288,0.5555555555555554,0.3000000000000007,0.2666666666666667,0.16666666666666663,0.25,0.2222222222222222,0.6000000000000001,0.11111111111111116,0.5333333333333332,0.55,0.41666666666666663,0.5416666666666667,0.40000000000000013,0.3500000000000001,0.30000000000000004,0.125,0.2666666666666667,0.7987931371046525
南澳后花园村,http://travel.qunar.com/p-oi9509472-nanaohouhuayuancun,"

地址:
汕头市南澳县	

",后花园村位于南澳县东半岛中部，海岛主峰果老山北侧，海拨 350-450米之间，长年山高雾多，亚热带海洋性气候显著，空气清新。 共69户，现有人口287人，设党支部和村委会各一个，班子健全，两委交叉任职4人，党员人数15人。由后花园、牛头岭、果老山、大篮口4个自然村组成，村落相距1.5公里山路左右，耕地面积122.98 亩，山地面积4100亩，山林覆盖率80%以上，可开发的山地面积2100亩。2009年全村人年均收入3600元，村集体纯收入3.9万元。村村通工程己实现。,全天,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/26dc4f0a67a90208b3648d5bb0f2144e.jpg_480x360x95_feb2d0da.jpg,5.0,,,免费,,1,汕头,汕头,0.3106796116504854,0.6000000000000001,0.4285714285714288,0.5555555555555554,0.3000000000000007,0.2666666666666667,0.16666666666666663,0.25,0.2222222222222222,0.6000000000000001,0.11111111111111116,0.5333333333333332,0.55,0.41666666666666663,0.5416666666666667,0.40000000000000013,0.3500000000000001,0.30000000000000004,0.125,0.2666666666666667,0.7987931371046525
文庙大成殿,http://travel.qunar.com/p-oi707513-wenmiaodachengdian,,文庙大成殿坐落在沧州运河区晓市街北侧市群艺馆内。大成殿原系孔庙主殿，东西18米，南北9米，正面五门，殿内立柱24根，出檐2米，顶为绿釉。建筑雄伟。始建于宋辽年间（约1120-1150），明初创修规制渐备，明清以来历经17次修建。1981年河北省拨款修整，面貌一新，列为市级重点文物保护单位。,,,5.0,,,,,2,沧州,沧州,0.3106796116504854,0.6000000000000001,0.4285714285714288,0.5555555555555554,0.3000000000000007,0.2666666666666667,0.16666666666666663,0.25,0.2222222222222222,0.6000000000000001,0.11111111111111116,0.5333333333333332,0.55,0.41666666666666663,0.5416666666666667,0.40000000000000013,0.3500000000000001,0.30000000000000004,0.125,0.2666666666666667,0.7987931371046525
刘三姐故居,http://travel.qunar.com/p-oi705865-liusanjieguju,"

地址:
广西河池市城东北郊8公里处的流河乡马安村


电话:
0778-3225887

",传说中的刘三姐，就是在这片青山绿水、竹影婆娑中长大成人，划着小舟，唱着山歌，和阿牛哥谈着恋爱：“下枧河畔翠竹多；山风吹来响嗦嗦；搬来板凳并排坐；我俩同唱风流歌。”景区内的龙江河段，水上石林奇石秀峰，蔚为奇观，素有“喀斯特之魂”之称；下枫河段风光旖旎、清彻透亮、茂林修竹。沿途有南涉山、会仙山、乌龟石、泣血碑、望妹石、三姐扁担等奇特景观。游客可以乘坐游船观光，还可以观赏山歌传唱、三姐寻根等民俗表演，是个休闲度假的好地方。另外电影《刘三姐》也是在这里取...传说中的刘三姐，就是在这片青山绿水、竹影婆娑中长大成人，划着小舟，唱着山歌，和阿牛哥谈着恋爱：“下枧河畔翠竹多；山风吹来响嗦嗦；搬来板凳并排坐；我俩同唱风流歌。”景区内的龙江河段，水上石林奇石秀峰，蔚为奇观，素有“喀斯特之魂”之称；下枫河段风光旖旎、清彻透亮、茂林修竹。沿途有南涉山、会仙山、乌龟石、泣血碑、望妹石、三姐扁担等奇特景观。游客可以乘坐游船观光，还可以观赏山歌传唱、三姐寻根等民俗表演，是个休闲度假的好地方。另外电影《刘三姐》也是在这里取景拍摄的。,7:00-18:30,https://img1.qunarzz.com/travel/d1/1511/ab/28830f5cddcc58f7.jpg_480x360x95_e2269b63.jpg,5.0,建议游览时间：1小时 - 3小时,,120元,,2,河池,河池,0.3106796116504854,0.6000000000000001,0.4285714285714288,0.5555555555555554,0.3000000000000007,0.2666666666666667,0.16666666666666663,0.25,0.2222222222222222,0.6000000000000001,0.11111111111111116,0.5333333333333332,0.55,0.41666666666666663,0.5416666666666667,0.40000000000000013,0.3500000000000001,0.30000000000000004,0.125,0.2666666666666667,0.7987931371046525
千家寨,http://travel.qunar.com/p-oi3857427-qianjiazhai,"

地址:
云南省普洱市镇沅县境东北角


电话:
0879-2134847

",千家寨景区位于镇沅县境东北角，哀牢山自然保护区北部中段西坡，海拔2000-3137米，为省级风景名胜区。景区由千家寨、湾河、者东三个片区和恩乐———水塘游览线共49个景点组成，总面积44平方公里，山雄、水美、林幽、物奇为该景区特色。原始的森林，千年的古茶，高大的瀑布，清澈的溪流，遍山的杜鹃，浓郁的民情，优美的环境，是旅游观光，登山探奇，科研科考的极好去处。普洱风景名胜区位于驰名中外的普洱茶的故乡，普洱哈尼族彝族自治县境内。景区由天壁山、松山、白草地三个片区和...千家寨景区位于镇沅县境东北角，哀牢山自然保护区北部中段西坡，海拔2000-3137米，为省级风景名胜区。景区由千家寨、湾河、者东三个片区和恩乐———水塘游览线共49个景点组成，总面积44平方公里，山雄、水美、林幽、物奇为该景区特色。原始的森林，千年的古茶，高大的瀑布，清澈的溪流，遍山的杜鹃，浓郁的民情，优美的环境，是旅游观光，登山探奇，科研科考的极好去处。普洱风景名胜区位于驰名中外的普洱茶的故乡，普洱哈尼族彝族自治县境内。景区由天壁山、松山、白草地三个片区和小黑江游览线，20个景点组成，核心面积64平方公里。景观特点：有挺拔秀丽的天壁山，神奇迷离的太乙洞溶洞群，茫茫苍苍的松山、林海，德安原始森林群落，白草地原始茶树林，古茶盐驿道遗址，哈尼族、彝族等民族文化风情，闻名中外的“普洱茶”文化节。,8：00---18：00,https://img1.qunarzz.com/travel/d8/1809/e3/e479cfc5831ba7b5.jpg_480x360x95_47c82987.jpg,5.0,,,10元,,1,普洱,普洱,0.3106796116504854,0.6000000000000001,0.4285714285714288,0.5555555555555554,0.3000000000000007,0.2666666666666667,0.16666666666666663,0.25,0.2222222222222222,0.6000000000000001,0.11111111111111116,0.5333333333333332,0.55,0.41666666666666663,0.5416666666666667,0.40000000000000013,0.3500000000000001,0.30000000000000004,0.125,0.2666666666666667,0.7987931371046525
合山怀集风景区,http://travel.qunar.com/p-oi711421-heshanhuaijifengjingqu,,位于合山市河里乡怀集村。国道322线从库区东侧穿过，距离合山市区20公里，是山水型自然风景区.水库库区面积约1000亩，水面弯延狭长，三面青山环抱，南面红水河奔腾而过，景色壮观。库区中部有一个面积约10多亩的小岛，岛上常有野兔、野鸭出没，给水库增添了几分野趣。水库两边各有一个面积约100亩的半岛伸出隔水相望，被当地人形象地称为情人岛。怀集水库晴天水光潋滟，雨天山色空朦，无论春夏秋冬，总是一幅碧水青山的美景。,,,5.0,,,,,1,来宾,来宾,0.3106796116504854,0.6000000000000001,0.4285714285714288,0.5555555555555554,0.3000000000000007,0.2666666666666667,0.16666666666666663,0.25,0.2222222222222222,0.6000000000000001,0.11111111111111116,0.5333333333333332,0.55,0.41666666666666663,0.5416666666666667,0.40000000000000013,0.3500000000000001,0.30000000000000004,0.125,0.2666666666666667,0.7987931371046525
万仙楼（望仙楼）,http://travel.qunar.com/p-oi7587745-wanxianlou,"

地址:
泰安市泰山区红门路54号泰山风景名胜区

",万仙楼下层是石砌拱形门洞，高3.4米，宽2.9米，石额南刻“万仙楼”，北刻 “谢恩处”。整个下层东西宽17.4米，进深13.65米，高4.4米。门东砌为隐真洞， 深1.76米，高1.95米，宽0.9米。万仙楼上层建在下层顶台偏北处，面阔3间13米，进深6.3米，通高11米，三柱 七檩五架梁，重梁起架，黄琉璃瓦九脊歇山顶，前为重檐双步廊式。檐下施影作斗 拱，一斗二升交麻叶头，枋檩额上遍饰墨线大点金彩绘。殿墙下部四周镶满明代朝 山进香施财合山会题名碑63块。下层东北角有石阶与上层相通。,全天,https://img1.qunarzz.com/travel/d2/1710/a6/60396bdfb88e4ab5.jpg_480x360x95_d9e2c730.jpg,5.0,建议游览时间：0.5小时 - 3小时,,凭学生证半价。,,1,泰安,泰安,0.3106796116504854,0.6000000000000001,0.4285714285714288,0.5555555555555554,0.3000000000000007,0.2666666666666667,0.16666666666666663,0.25,0.2222222222222222,0.6000000000000001,0.11111111111111116,0.5333333333333332,0.55,0.41666666666666663,0.5416666666666667,0.40000000000000013,0.3500000000000001,0.30000000000000004,0.125,0.2666666666666667,0.7987931371046525
小塘子,http://travel.qunar.com/p-oi38676815-xiaotangzi,,,,,5.0,,,具体收费情况以现场公示为主,,2,文山,文山,0.3106796116504854,0.6000000000000001,0.4285714285714288,0.5555555555555554,0.3000000000000007,0.2666666666666667,0.16666666666666663,0.25,0.2222222222222222,0.6000000000000001,0.11111111111111116,0.5333333333333332,0.55,0.41666666666666663,0.5416666666666667,0.40000000000000013,0.3500000000000001,0.30000000000000004,0.125,0.2666666666666667,0.7987931371046525
摩天石,http://travel.qunar.com/p-oi39415876-motianshi,,,,,5.0,,,,,2,揭阳,揭阳,0.3106796116504854,0.6000000000000001,0.4285714285714288,0.5555555555555554,0.3000000000000007,0.2666666666666667,0.16666666666666663,0.25,0.2222222222222222,0.6000000000000001,0.11111111111111116,0.5333333333333332,0.55,0.41666666666666663,0.5416666666666667,0.40000000000000013,0.3500000000000001,0.30000000000000004,0.125,0.2666666666666667,0.7987931371046525
动物标本博物馆,http://travel.qunar.com/p-oi37806568-dongwubiaobenbowuguan,,动物标本博物馆里面有恐龙化石，各种各样的动物标本，逼真的动物音效，适合带孩子来游玩学习。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1,德州,德州,0.3106796116504854,0.6000000000000001,0.4285714285714288,0.5555555555555554,0.3000000000000007,0.2666666666666667,0.16666666666666663,0.25,0.2222222222222222,0.6000000000000001,0.11111111111111116,0.5333333333333332,0.55,0.41666666666666663,0.5416666666666667,0.40000000000000013,0.3500000000000001,0.30000000000000004,0.125,0.2666666666666667,0.7987931371046525
天门山山门,http://travel.qunar.com/p-oi9777498-tianmenshanshanmen,"

地址:
张家界市永定区天门山景区内


电话:
0744-8369999、0744-8366666


官网:
http://www.tianmenshan.com.cn

",天门山国家森林公园山门位于张家界市永定区双峡村，距市区天门山索道下站8公里，山门入口处悬挂有金庸先生亲笔题词“天门仙山”，山门内有设有《天门狐仙》演出剧场。,8:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/6b32b1b8e9c8dcee06cd9541ec430517.jpg_480x360x95_8eaf64c4.jpg,5.0,,,"票价
 旺季票价（3月1日至12月9日）258元+保险费3元，门票已含景区内环保车、天门山观光索道以及天门洞至山顶双向扶梯费用。
 淡季票价（12月10日至次年2月28日）225元+保险费3元。（景区门票75元、景区内交通费150元）
 以下项目需单独购票：山顶森林观光缆车票，双程每人39元，单程每人23元；玻璃栈道防滑鞋：每双5元；天门山寺佛祖舍利参观：每人50元。

优惠政策
 1、幼儿：不足1.3米的幼儿免费。
 2、残疾人、70岁以上老人执行优惠价：110元。
 3、现役军人、学生、60岁以上的老人执行优惠价：148元。
 4、张家界本市市民执行优惠价：100元。
 5、记者：凭省级以上出版部门颁发的记者证，经过天门山景区行政部门核实，可以享受免票。
 6、境外游客需办理旅行社相关手续（名单及护照号码）。

索道
 单程票价25元",,2,张家界,张家界,0.3106796116504854,0.6000000000000001,0.4285714285714288,0.5555555555555554,0.3000000000000007,0.2666666666666667,0.16666666666666663,0.25,0.2222222222222222,0.6000000000000001,0.11111111111111116,0.5333333333333332,0.55,0.41666666666666663,0.5416666666666667,0.40000000000000013,0.3500000000000001,0.30000000000000004,0.125,0.2666666666666667,0.7987931371046525
南寺头清真寺Nansitou Mosque,http://travel.qunar.com/p-oi714301-nansitouqingzhensi,,位于大厂回族自治县南寺头村西。始建于明朝中叶，至今有五百年左右的历史。据传，明朝永乐年间，回族杨氏先人杨国忠在三河县任职，后定居南寺头。该寺既有传统艺术的特点，又有浓厚的阿拉伯建筑艺术色彩，原有殿、堂、厅四十七间，其规模之大在京东颇享盛名。,,https://img1.qunarzz.com/travel/poi/1708/8e/13d3842195a87837.jpg_480x360x95_3c171c9f.jpg,5.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,1,廊坊,廊坊,0.3106796116504854,0.6000000000000001,0.4285714285714288,0.5555555555555554,0.3000000000000007,0.2666666666666667,0.16666666666666663,0.25,0.2222222222222222,0.6000000000000001,0.11111111111111116,0.5333333333333332,0.55,0.41666666666666663,0.5416666666666667,0.40000000000000013,0.3500000000000001,0.30000000000000004,0.125,0.2666666666666667,0.7987931371046525
